0.02022498864251291+0.0355065532942314i,0.02022498864251291-0.0355065532942314i,0.04719834091579986-0.01903290460999386i,0.04719834091579986+0.01903290460999386i,0.04964807537627898+0.03259404032332838i,0.04964807537627898-0.03259404032332838i,0.00858739149841169-0.08933570015640799i,0.00858739149841169+0.08933570015640799i,0.05772102730822738+0.0946426316202786i,0.05772102730822738-0.0946426316202786i,0.1948324777704815+0i,0.3558474614289713+0i,0.3558474614289713-0i,0.6373117444878467+0i,0.6373117444878467-0i,0.7235593805259551+0i,-0.7519188282255721+0i,0.7916541060266614+0i,0.7916541060266614-0i,0.8048166374553289+0i,0.8048166374553289-0i,0.8051443042415368+0i,0.8051443042415368-0i,-0.8196011331593228+0i
-0.0003822255009334358-0.001238487820763881i,-0.0003822255009334358+0.001238487820763881i,-0.0003410704304940598+0.0003592964582618023i,-0.0003410704304940598-0.0003592964582618023i,-0.002286663566844493+0.001800137509537345i,-0.002286663566844493-0.001800137509537345i,0.001914808652204955+0.009107688194430495i,0.001914808652204955-0.009107688194430495i,-0.008317312813917713-0.002685313795141781i,-0.008317312813917713+0.002685313795141781i,-0.0567011861055059+0i,-0.009089140965275206+0.002233724922470543i,-0.009089140965275206-0.002233724922470543i,-0.0237423227293442+0.009378608008133575i,-0.0237423227293442-0.009378608008133575i,-0.04091631264598177+0i,0.04067213548984099+0i,-0.03884846623926031+0.00267324604418477i,-0.03884846623926031-0.00267324604418477i,-0.03304969758015996+0.003458135873653256i,-0.03304969758015996-0.003458135873653256i,-0.03199608905865135+0.0006008103842729568i,-0.03199608905865135-0.0006008103842729568i,0.03437835983269318+0i
-0.01477602807663381-0.0333918481112794i,-0.01477602807663381+0.0333918481112794i,-0.03918786846199336+0.007233785090258125i,-0.03918786846199336-0.007233785090258125i,-0.02811851985353477-0.03097510055607821i,-0.02811851985353477+0.03097510055607821i,-0.01188341594200634+0.04360124682707054i,-0.01188341594200634-0.04360124682707054i,-0.01997047605937952-0.06452956412523907i,-0.01997047605937952+0.06452956412523907i,0.2596897427429072+0i,-0.2702295040961957-0.0317898438612358i,-0.2702295040961957+0.0317898438612358i,-0.439751091015435-0.04726420198621069i,-0.439751091015435+0.04726420198621069i,-0.45432081539757+0i,0.4788800993800474+0i,-0.5197863986878066-0.01067864630076276i,-0.5197863986878066+0.01067864630076276i,-0.5598372323964795-0.01802335591286999i,-0.5598372323964795+0.01802335591286999i,-0.5714335478867403-0.003896049098477173i,-0.5714335478867403+0.003896049098477173i,0.5712018876475382+0i
-0.004967852351502878-0.04584552568376369i,-0.004967852351502878+0.04584552568376369i,-0.03183415942482117-0.04030421539861765i,-0.03183415942482117+0.04030421539861765i,0.04588744253325771-0.02340601801377379i,0.04588744253325771+0.02340601801377379i,-0.001034589402639985-0.04738803426542252i,-0.001034589402639985+0.04738803426542252i,0.06102002336916261+0.03380179006184339i,0.06102002336916261-0.03380179006184339i,0.2409431392287885+0i,-0.1020778591800695-0.1721097464877669i,-0.1020778591800695+0.1721097464877669i,0.03850502304242356-0.2031286992080736i,0.03850502304242356+0.2031286992080736i,0.1696336987829624+0i,-0.1552626588201384+0i,0.1120512029886821-0.03851006205081639i,0.1120512029886821+0.03851006205081639i,-0.008786723239659108-0.07665450257204655i,-0.008786723239659108+0.07665450257204655i,-0.06053306097651058-0.01855844751282153i,-0.06053306097651058+0.01855844751282153i,0.0103396740628674+0i
0.01194470647662339+0.06489339886964396i,0.01194470647662339-0.06489339886964396i,0.06120598388393813+0.05081189355859007i,0.06120598388393813-0.05081189355859007i,-0.06407441471856914+0.06491195410339093i,-0.06407441471856914-0.06491195410339093i,0.0307565670135509+0.1270601030245793i,0.0307565670135509-0.1270601030245793i,-0.1480187682471569-0.02849674785322377i,-0.1480187682471569+0.02849674785322377i,0.1948323816650257+0i,0.2009857230662021+0.2593186793317829i,0.2009857230662021-0.2593186793317829i,-0.02270491692178973+0.3796530169570724i,-0.02270491692178973-0.3796530169570724i,-0.354284914163272+0i,0.3186208531039872+0i,-0.2194193762964324+0.08156946052332456i,-0.2194193762964324-0.08156946052332456i,0.02118747784889403+0.1411924633264161i,0.02118747784889403-0.1411924633264161i,0.1096862997636278+0.03219847379480797i,0.1096862997636278-0.03219847379480797i,-0.02158533740733523+0i
7.616290780276104e-05-0.002091549640732757i,7.616290780276104e-05+0.002091549640732757i,-0.0007473838010821414-0.0002026390246739822i,-0.0007473838010821414+0.0002026390246739822i,-0.002019846272692379-0.003986853578475473i,-0.002019846272692379+0.003986853578475473i,-0.006976330024833835-0.01162382318274787i,-0.006976330024833835+0.01162382318274787i,0.01030963674845894-0.005911848115811584i,0.01030963674845894+0.005911848115811584i,-0.0567011581363823+0i,-0.006761420065159701-0.005361952576646605i,-0.006761420065159701+0.005361952576646605i,-0.00474108532626147-0.01447766348138638i,-0.00474108532626147+0.01447766348138638i,0.02003433678535346+0i,-0.01723456046168573+0i,0.01049202035508795-0.004743751575856075i,0.01049202035508795+0.004743751575856075i,-0.001476736939321983-0.005707013029498014i,-0.001476736939321983+0.005707013029498014i,-0.004382913441198987-0.001197704016659831i,-0.004382913441198987+0.001197704016659831i,0.000905401989427995+0i
-0.004762298544337278-0.05877035196555i,-0.004762298544337278+0.05877035196555i,-0.03902931964868523-0.04854620185439585i,-0.03902931964868523+0.04854620185439585i,0.05513367077959633-0.03298306545341032i,0.05513367077959633+0.03298306545341032i,-0.004422967953925598-0.06567912072038266i,-0.004422967953925598+0.06567912072038266i,0.08319097324118797+0.03893325687913148i,0.08319097324118797-0.03893325687913148i,0.2596896146451587+0i,-0.1294615725607238-0.2148810126852148i,-0.1294615725607238+0.2148810126852148i,0.04382236653797887-0.260280310333848i,0.04382236653797887+0.260280310333848i,0.2224544597413897+0i,-0.202922416717592+0i,0.1451672617503604-0.05059734284505006i,0.1451672617503604+0.05059734284505006i,-0.0115762727906541-0.09868914689586986i,-0.0115762727906541+0.09868914689586986i,-0.07769164392540076-0.02338292803816063i,-0.07769164392540076+0.02338292803816063i,0.01504339729869835+0i
0.01681687178819295-0.07253904326237991i,0.01681687178819295+0.07253904326237991i,0.03182864754082963-0.0737021979662336i,0.03182864754082963+0.0737021979662336i,0.02138296621012984+0.07616434629582901i,0.02138296621012984-0.07616434629582901i,0.02400890005289547+0.06473486258324017i,0.02400890005289547-0.06473486258324017i,-0.08982383854927009+0.03047404031278047i,-0.08982383854927009-0.03047404031278047i,0.2409430203782199+0i,0.06776802545152538-0.1715968331795011i,0.06776802545152538+0.1715968331795011i,0.1196340265107339+0.03017450811527416i,0.1196340265107339-0.03017450811527416i,-0.08305974883337776+0i,0.06579157078059639+0i,-0.02708880042885109+0.02221905986616706i,-0.02708880042885109-0.02221905986616706i,0.01321651298466597-0.003559487392179145i,0.01321651298466597+0.003559487392179145i,-0.00750436133514924-0.004949025402799397i,-0.00750436133514924+0.004949025402799397i,0.0002723097178608056+0i
-0.01631386640702939+0.1052912517377946i,-0.01631386640702939-0.1052912517377946i,-0.02449104149849629+0.1219078490522214i,-0.02449104149849629-0.1219078490522214i,-0.07838666551685766-0.1160861272965433i,-0.07838666551685766+0.1160861272965433i,-0.102891325966325-0.1602353285778477i,-0.102891325966325+0.1602353285778477i,0.164064879286847-0.1228568726217336i,0.164064879286847+0.1228568726217336i,0.1948322855596171+0i,-0.07545625439088639+0.2929308645944874i,-0.07545625439088639-0.2929308645944874i,-0.2253542340532223-0.02705109480147474i,-0.2253542340532223+0.02705109480147474i,0.1734727014560133+0i,-0.1350135735692167+0i,0.0524108767811429-0.04521651568939512i,0.0524108767811429+0.04521651568939512i,-0.02421222620868757+0.007434021738461714i,-0.02421222620868757-0.007434021738461714i,0.01365512068234613+0.008772915438843235i,0.01365512068234613-0.008772915438843235i,-0.000568479925342111+0i
0.001228869455261202-0.003148253703132931i,0.001228869455261202+0.003148253703132931i,-0.0002757707959003146-0.001178588594423139i,-0.0002757707959003146+0.001178588594423139i,0.006613259520352906-0.001837124716782946i,0.006613259520352906+0.001837124716782946i,0.01514250722930712+0.01267490565802872i,0.01514250722930712-0.01267490565802872i,-0.003482346055808131+0.01578024152892824i,-0.003482346055808131-0.01578024152892824i,-0.05670113016727376+0i,8.853670035660301e-05-0.007955764040019306i,8.853670035660301e-05+0.007955764040019306i,0.00879339603595913-0.002308529873997262i,0.00879339603595913+0.002308529873997262i,-0.009809648633340622+0i,0.007303036113796252+0i,-0.002419247611960481+0.002395868900072368i,-0.002419247611960481-0.002395868900072368i,0.0009623296296769739-0.0004093122867531394i,0.0009623296296769739+0.0004093122867531394i,-0.000549195111765203-0.0003384422443843893i,-0.000549195111765203+0.0003384422443843893i,2.384502246325382e-05+0i
0.02400655793611499-0.09213485873525612i,0.02400655793611499+0.09213485873525612i,0.03782897252535133-0.08971663783616482i,0.03782897252535133+0.08971663783616482i,0.03301065973118219+0.09297951858927274i,0.03301065973118219-0.09297951858927274i,0.03739029359524701+0.08829701263737336i,0.03739029359524701-0.08829701263737336i,-0.1152666131368199+0.0480866474393456i,-0.1152666131368199-0.0480866474393456i,0.2596894865474737+0i,0.08347040761039619-0.2157098983372122i,0.08347040761039619+0.2157098983372122i,0.1534903800648112+0.03537819078945225i,0.1534903800648112-0.03537819078945225i,-0.1089230010637505+0i,0.08598709209218736+0i,-0.0350220024895656+0.02898141051916689i,-0.0350220024895656-0.02898141051916689i,0.01700870868396439-0.004628950759532981i,0.01700870868396439+0.004628950759532981i,-0.009648971380809286-0.00629246110102613i,-0.009648971380809286+0.00629246110102613i,0.0003961888207663569+0i
