-0.141662430664643-0.017341353997409i,-0.141662430664643+0.017341353997409i,0.2114148656702294+0i,0.2313982486649118+0i,0.2157712896155918+0.0698054330443723i,0.2157712896155918-0.0698054330443723i,0.1845305589639007+0.08726697908427852i,0.1845305589639007-0.08726697908427852i,0.1732489818873766+0.0834679669013085i,0.1732489818873766-0.0834679669013085i,-0.1589718796691532-0.05043488191200776i,-0.1589718796691532+0.05043488191200776i,-0.180200667567428-0.0734090248124635i,-0.180200667567428+0.0734090248124635i,0.2376602630638003+0i,0.2408710441171213+0.06800883040335926i,0.2408710441171213-0.06800883040335926i,0.2503647962160576+0i,0.2576197152825055+0.1212745843828551i,0.2576197152825055-0.1212745843828551i,-0.3876842710997728+0i,0.1307709130929448+0i,0.193043998985079+0.1589362107204436i,0.193043998985079-0.1589362107204436i
0.1829926917236837-0.00848702765861265i,0.1829926917236837+0.00848702765861265i,-0.1051622002291003+0i,-0.1973689404019173+0i,-0.2122977896988469+0.008988098752138352i,-0.2122977896988469-0.008988098752138352i,-0.2080963793509482+0.01904590128979177i,-0.2080963793509482-0.01904590128979177i,-0.2087066243207503+0.02549091643766221i,-0.2087066243207503-0.02549091643766221i,0.1958429912630481-0.02220331516186739i,0.1958429912630481+0.02220331516186739i,0.217195097189058-0.02862567381266799i,0.217195097189058+0.02862567381266799i,-0.2503623332520458+0i,-0.2576762344855537+0.03242349917081684i,-0.2576762344855537-0.03242349917081684i,-0.3246915692658899+0i,-0.2996403108184886+0.06212345177196249i,-0.2996403108184886-0.06212345177196249i,0.2050271931551423+0i,-0.3855043319938607+0i,-0.3264183410517475+0.09827963901867069i,-0.3264183410517475-0.09827963901867069i
0.005051573365572602+0.02624471756908499i,0.005051573365572602-0.02624471756908499i,0.01221651853225217+0i,0.07279850139009042+0i,0.07214479150789993-0.04272554683951364i,0.07214479150789993+0.04272554683951364i,0.05138381385359312-0.07583958062325989i,0.05138381385359312+0.07583958062325989i,0.0317341567068514-0.09596179252930161i,0.0317341567068514+0.09596179252930161i,0.0009107081177125292+0.07561710813228346i,0.0009107081177125292-0.07561710813228346i,-0.01063299590197792+0.1044533563573765i,-0.01063299590197792-0.1044533563573765i,-0.06260599104262719+0i,-0.03780137583957096-0.1214984115064355i,-0.03780137583957096+0.1214984115064355i,0.2022282614632666+0i,0.05287238577187903-0.2508765869699243i,0.05287238577187903+0.2508765869699243i,0.3503923310128553+0i,0.4492998034831495+0i,0.222573570793531-0.4047998957382214i,0.222573570793531+0.4047998957382214i
-0.4999170301348531+0i,-0.4999170301348531-0i,0.3328092115871754+0i,0.4972001483823031+0i,0.5463224928280414+0i,0.5463224928280414-0i,0.5516671457132256+0i,0.5516671457132256-0i,0.564480998817897+0i,0.564480998817897-0i,-0.5420569829618264+0i,-0.5420569829618264-0i,-0.5984997362539293+0i,-0.5984997362539293-0i,0.7264929556113061+0i,0.737673910109095+0i,0.737673910109095-0i,0.7692397081644827+0i,0.7991838907881086+0i,0.7991838907881086-0i,-0.8016003463737622+0i,0.7719732688725386+0i,0.7591385813827544+0i,0.7591385813827544-0i
0.1217454880351654-0.02102518653599805i,0.1217454880351654+0.02102518653599805i,0.211414895667712+0i,0.192674278747427+0i,0.1169973515003574+0.1350865595976585i,0.1169973515003574-0.1350865595976585i,0.01916471662449776+0.1603448776409691i,0.01916471662449776-0.1603448776409691i,-0.04518531217215382+0.143415145008789i,-0.04518531217215382-0.143415145008789i,0.1140735160733964-0.07418047791344637i,0.1140735160733964+0.07418047791344637i,0.09149875226354261-0.1130651227497336i,0.09149875226354261+0.1130651227497336i,-0.1406675746310913+0i,-0.1172258721918121+0.07542099988848226i,-0.1172258721918121-0.07542099988848226i,0.1117752114927742+0i,-0.03698653999966435+0.09181669151397143i,-0.03698653999966435-0.09181669151397143i,0.0797601955801706+0i,0.02497427939041454+0i,-0.01106752620087613+0.04303035813580088i,-0.01106752620087613-0.04303035813580088i
-0.1495468465350719+0.05275963127538566i,-0.1495468465350719-0.05275963127538566i,-0.1051622151504791+0i,-0.1643396977223955+0i,-0.1467991075297832-0.08054648526641053i,-0.1467991075297832+0.08054648526641053i,-0.100306314962506-0.1314077745701137i,-0.100306314962506+0.1314077745701137i,-0.04310240092423574-0.1586493365496479i,-0.04310240092423574+0.1586493365496479i,-0.08733293520422485+0.135024906515658i,-0.08733293520422485-0.135024906515658i,-0.02648935418224434+0.1616029608126584i,-0.02648935418224434-0.1616029608126584i,0.1481857410386349+0i,0.081517846717211-0.119478892699337i,0.081517846717211+0.119478892699337i,-0.1449583542619796+0i,-0.02749913339075504-0.1027668535211595i,-0.02749913339075504+0.1027668535211595i,-0.04218125481056424+0i,-0.07362258674898922+0i,-0.04037097765430773-0.0451565468586304i,-0.04037097765430773+0.0451565468586304i
-0.01074475070207167-0.02048981608832314i,-0.01074475070207167+0.02048981608832314i,0.01221652026564398+0i,0.06061583797697991+0i,0.06607022143433436+0.000625455952662441i,0.06607022143433436-0.000625455952662441i,0.07242810664506026+0.002520477954536532i,0.07242810664506026-0.002520477954536532i,0.07781305157884189+0.01380859499516861i,0.07781305157884189-0.01380859499516861i,-0.04816977691439261-0.03855345762338817i,-0.04816977691439261+0.03855345762338817i,-0.07244116741536055-0.03019820836689986i,-0.07244116741536055+0.03019820836689986i,0.03705555486563631+0i,0.06464044565278773+0.02904300355330919i,0.06464044565278773-0.02904300355330919i,0.09028468473405471+0i,0.08812087583217579+0.01337941802003241i,0.08812087583217579-0.01337941802003241i,-0.07208794097345488+0i,0.08580607534850895+0i,0.08190570916384592+0.005386185893363794i,0.08190570916384592-0.005386185893363794i
0.4143399928763865-0.1249171373089916i,0.4143399928763865+0.1249171373089916i,0.3328092588092026+0i,0.4139948358960946+0i,0.3683338848414152+0.2228707986885504i,0.3683338848414152-0.2228707986885504i,0.2320858363403557+0.3696058340429182i,0.2320858363403557-0.3696058340429182i,0.06322591351623373+0.4368151836683936i,0.06322591351623373-0.4368151836683936i,0.2804863163056932-0.3419242472716888i,0.2804863163056932+0.3419242472716888i,0.1294359820354002-0.4282515509173666i,0.1294359820354002+0.4282515509173666i,-0.4300003742105633+0i,-0.2720999992161629+0.307804978648533i,-0.2720999992161629-0.307804978648533i,0.3434266013761973+0i,0.01583641338476487+0.2773773204186408i,0.01583641338476487-0.2773773204186408i,0.1649171895019933+0i,0.1474293911601859+0i,0.05709395186688614+0.1222089720004655i,0.05709395186688614-0.1222089720004655i
-0.09565110938280977+0.04784728673623482i,-0.09565110938280977-0.04784728673623482i,0.2114149256651981+0i,0.1604306770039541+0i,0.02377211214101088+0.1388049210041684i,0.02377211214101088-0.1388049210041684i,-0.09936524836567485+0.08029690810229506i,-0.09936524836567485-0.08029690810229506i,-0.1160407448339563-0.01890245535756519i,-0.1160407448339563+0.01890245535756519i,-0.01223479532062918+0.1103410010179345i,-0.01223479532062918-0.1103410010179345i,0.06111461894190685+0.08992347782438556i,0.06111461894190685-0.08992347782438556i,0.08325904506502028+0i,0.01176969979851468-0.07673412373934081i,0.01176969979851468+0.07673412373934081i,0.04990197540980439+0i,-0.03260025921351445-0.01101771491608001i,-0.03260025921351445+0.01101771491608001i,-0.01640945809057524+0i,0.004769521113821212+0i,-0.007759564307819734+0.001454572621788921i,-0.007759564307819734-0.001454572621788921i
0.1107636945448566-0.08109623550655308i,0.1107636945448566+0.08109623550655308i,-0.1051622300718595+0i,-0.1368378235830357+0i,-0.06611411124195878-0.1141912240286692i,-0.06611411124195878+0.1141912240286692i,0.04584178216508204-0.1224863271073689i,0.04584178216508204+0.1224863271073689i,0.1179406402519193-0.05112401031885697i,0.1179406402519193+0.05112401031885697i,-0.03998213641171043-0.1249571334728094i,-0.03998213641171043+0.1249571334728094i,-0.1099048822318766-0.05390369116265163i,-0.1099048822318766+0.05390369116265163i,-0.0877089359327176+0i,0.01978542522434489+0.07808572987159657i,0.01978542522434489-0.07808572987159657i,-0.06471656938260087+0i,0.03512296373463542-0.01158068176180119i,0.03512296373463542+0.01158068176180119i,0.008678157419086261+0i,-0.01406024480082547+0i,0.0042332145862176-0.009895243865653002i,0.0042332145862176+0.009895243865653002i
0.01402534556025141+0.01429746602420142i,0.01402534556025141-0.01429746602420142i,0.01221652199903593+0i,0.05047191554071781+0i,0.0442897844829217+0.02737485612943286i,0.0442897844829217-0.02737485612943286i,0.02878176536716929+0.04958572974902666i,0.02878176536716929-0.04958572974902666i,-0.001969955927281203+0.06176112840496531i,-0.001969955927281203-0.06176112840496531i,0.04924450030277119-0.01043561393150695i,0.04924450030277119+0.01043561393150695i,0.03727474192700981-0.04530379196142107i,0.03727474192700981+0.04530379196142107i,-0.02193263174230786+0i,-0.03596202324160851+0.01625928419797808i,-0.03596202324160851-0.01625928419797808i,0.04030754276651029+0i,-0.002897491463908299+0.03084973895253634i,-0.002897491463908299-0.03084973895253634i,0.01483100734188609+0i,0.01638701488323738+0i,0.005292947129987203+0.013590576752445i,0.005292947129987203-0.013590576752445i
