-0.2336517045214196+0i,0.2702988972205644-0.02844961777219079i,0.2702988972205644+0.02844961777219079i,0.1194520228644548-0.1162825944476636i,0.1194520228644548+0.1162825944476636i,0.2092722501583043-0.1551843009522933i,0.2092722501583043+0.1551843009522933i,0.2280159514848916-0.146873050763571i,0.2280159514848916+0.146873050763571i,-0.07214403221394287+0.1255054096514801i,-0.07214403221394287-0.1255054096514801i,0.04362434042516176+0.06622314936986283i,0.04362434042516176-0.06622314936986283i,0.1285288587542089-0.1355166854053025i,0.1285288587542089+0.1355166854053025i,0.0914760222762242-0.1137986563250779i,0.0914760222762242+0.1137986563250779i,0.03132216524253401-0.1296477982898178i,0.03132216524253401+0.1296477982898178i,0.240828848804738+0i,0.149456491000242-0.1346946243427127i,0.149456491000242+0.1346946243427127i,0.1817312608558555-0.08511297917425172i,0.1817312608558555+0.08511297917425172i
-0.09233120997374351+0i,0.09174743009407055+0.007780012191229697i,0.09174743009407055-0.007780012191229697i,0.0121887962982814-0.02453116770666394i,0.0121887962982814+0.02453116770666394i,0.05077043001641475-0.07599337022824099i,0.05077043001641475+0.07599337022824099i,0.04837089996628782-0.1065371136194022i,0.04837089996628782+0.1065371136194022i,0.01056902705589943-0.2210378272657604i,0.01056902705589943+0.2210378272657604i,0.1253178730873051+0.1577337965983152i,0.1253178730873051-0.1577337965983152i,0.1217383310460147-0.1661724421608366i,0.1217383310460147+0.1661724421608366i,0.109253392812639-0.1496969179666414i,0.109253392812639+0.1496969179666414i,0.2092098987002572-0.1201270957483877i,0.2092098987002572+0.1201270957483877i,-0.0561361492328302+0i,0.3724304132511549-0.2227694696025533i,0.3724304132511549+0.2227694696025533i,0.4524441566051816-0.1421137376004347i,0.4524441566051816+0.1421137376004347i
0.03414962483983217+0i,-0.05542456689417143+0.09202761207675141i,-0.05542456689417143-0.09202761207675141i,0.09761495172710732-0.06400282818449117i,0.09761495172710732+0.06400282818449117i,0.2475943355887732+0.02389649768642567i,0.2475943355887732-0.02389649768642567i,0.3068705799505653+0i,0.3068705799505653-0i,0.214321017142372-0.104875375849778i,0.214321017142372+0.104875375849778i,-0.113453520349148-0.07674785455013591i,-0.113453520349148+0.07674785455013591i,0.3002753919923229+0i,0.3002753919923229-0i,0.3407932719274246+0i,0.3407932719274246-0i,0.4361897452891883+0i,0.4361897452891883-0i,-0.7360319100886832+0i,0.6288706942955071+0i,0.6288706942955071-0i,0.7112571623253475+0i,0.7112571623253475-0i
-0.3691371087836806+0i,0.4159842547477425+0i,0.4159842547477425-0i,0.3622136825746949+0i,0.3622136825746949-0i,0.3246300369631193+0i,0.3246300369631193-0i,0.2790872827856591+0.1102045196516049i,0.2790872827856591-0.1102045196516049i,-0.3019200218102532+0i,-0.3019200218102532-0i,0.3410751360843867+0i,0.3410751360843867-0i,-0.09408475752289215-0.1405664159813677i,-0.09408475752289215+0.1405664159813677i,-0.1760098589021647-0.106360033996862i,-0.1760098589021647+0.106360033996862i,-0.01381412098702658-0.1955187729120679i,-0.01381412098702658+0.1955187729120679i,0.4158742216085072+0i,-0.01504163035923978-0.3366699249451159i,-0.01504163035923978+0.3366699249451159i,0.1337947617459492-0.2691757308597539i,0.1337947617459492+0.2691757308597539i
-0.2247687219409581+0i,0.2437114547102792+0.01361560356119967i,0.2437114547102792-0.01361560356119967i,0.1653705971217942-0.002098072214473575i,0.1653705971217942+0.002098072214473575i,0.2394926374453828+0.005175551214531955i,0.2394926374453828-0.005175551214531955i,0.2382678345795213+0.04507963782324764i,0.2382678345795213-0.04507963782324764i,-0.129369062433204-0.04405799403171244i,-0.129369062433204+0.04405799403171244i,-0.07721071700551453-0.0102683644072339i,-0.07721071700551453+0.0102683644072339i,0.07035620781635235+0.1662847079306316i,0.07035620781635235-0.1662847079306316i,0.05372601485712088+0.1275621247589264i,0.05372601485712088-0.1275621247589264i,0.1054871679605216+0.04691211786365963i,0.1054871679605216-0.04691211786365963i,0.1140457557906716+0i,0.03486544762913703+0.09698180689618437i,0.03486544762913703-0.09698180689618437i,-0.01808159876182049+0.07248551566708158i,-0.01808159876182049-0.07248551566708158i
-0.0888209572601602+0i,0.08021756536592692+0.02007937825049877i,0.08021756536592692-0.02007937825049877i,0.02552421817027529-0.009328301771530436i,0.02552421817027529+0.009328301771530436i,0.07970934041444858-0.02660385898175711i,0.07970934041444858+0.02660385898175711i,0.09693783197183561-0.03932299270416086i,0.09693783197183561+0.03932299270416086i,0.2066989360475586-0.03032782663203305i,0.2066989360475586+0.03032782663203305i,-0.1976879401256062-0.008573909146912908i,-0.1976879401256062+0.008573909146912908i,0.1001427494965788+0.1721245612970636i,0.1001427494965788-0.1721245612970636i,0.07566421551602531+0.1585602629219875i,0.07566421551602531-0.1585602629219875i,0.06960319571620047+0.1968737898878657i,0.06960319571620047-0.1968737898878657i,-0.02658356587348408+0i,0.03336883996330119+0.2197737969637398i,0.03336883996330119-0.2197737969637398i,-0.06517741808979999+0.1640765997824677i,-0.06517741808979999-0.1640765997824677i
0.03285132263740281+0i,-0.06235720878353707+0.07362037260139397i,-0.06235720878353707-0.07362037260139397i,0.1139530028456942+0.02060879024630646i,0.1139530028456942-0.02060879024630646i,0.1664237883302663+0.1568809608054928i,0.1664237883302663-0.1568809608054928i,0.1990151608937033+0.1888621307018349i,0.1990151608937033-0.1888621307018349i,0.1360622143911446+0.1795223888367391i,0.1360622143911446-0.1795223888367391i,0.1299709002094493-0.03475911279914195i,0.1299709002094493+0.03475911279914195i,-0.1161314420659206+0.2660372004195357i,-0.1161314420659206-0.2660372004195357i,-0.1534953757144154+0.2842793741475814i,-0.1534953757144154-0.2842793741475814i,-0.0681138636640185+0.3713591380035844i,-0.0681138636640185-0.3713591380035844i,-0.3485517448957065+0i,-0.1219848043339835+0.2981357219304633i,-0.1219848043339835-0.2981357219304633i,-0.1670021834162711+0.2054780704653384i,-0.1670021834162711-0.2054780704653384i
-0.3551032351004406+0i,0.368775945660557+0.0597686914896458i,0.368775945660557-0.0597686914896458i,0.2606467498858685+0.2473690201253234i,0.2606467498858685-0.2473690201253234i,0.2358596377490033+0.1829284693028335i,0.2358596377490033-0.1829284693028335i,0.1131719440103864+0.2432340992101182i,0.1131719440103864-0.2432340992101182i,-0.05480004283287682-0.2797139517207291i,-0.05480004283287682+0.2797139517207291i,-0.2195666376750815+0.2530264148009316i,-0.2195666376750815-0.2530264148009316i,0.1609259221264545-0.02899293492491532i,0.1609259221264545+0.02899293492491532i,0.1679982207300305-0.09891685643472486i,0.1679982207300305+0.09891685643472486i,0.1686161055366651+0.01877059024952785i,0.1686161055366651-0.01877059024952785i,0.1969394038654159+0i,0.1625265454236532+0.05817438771636089i,0.1625265454236532-0.05817438771636089i,0.04634848574902187+0.1018546147518986i,0.04634848574902187-0.1018546147518986i
-0.2162234530514214+0i,0.2140973711238331+0.04708693082619229i,0.2140973711238331-0.04708693082619229i,0.1204325204510512+0.1114278913400969i,0.1204325204510512-0.1114278913400969i,0.1710867286635537+0.1387139823321681i,0.1710867286635537-0.1387139823321681i,0.12678007448723+0.1758764307074285i,0.12678007448723-0.1758764307074285i,0.01733639730656718-0.127850784496581i,0.01733639730656718+0.127850784496581i,0.05732187101547569-0.05066848571606274i,0.05732187101547569+0.05066848571606274i,-0.1745347352465968-0.001976566784108642i,-0.1745347352465968+0.001976566784108642i,-0.1306069676076654-0.01263815556984295i,-0.1306069676076654+0.01263815556984295i,-0.05641210618609079+0.08248304448342746i,-0.05641210618609079-0.08248304448342746i,0.05400696170088431+0i,-0.05274024711443558-0.002282935668443081i,-0.05274024711443558+0.002282935668443081i,-0.01669511120879819-0.02224316638899115i,-0.01669511120879819+0.02224316638899115i
-0.08544415751569444+0i,0.06822900155117788+0.02932632781115251i,0.06822900155117788-0.02932632781115251i,0.02473771094019644+0.01071883666001855i,0.02473771094019644-0.01071883666001855i,0.07290397271258615+0.02558706879589953i,0.07290397271258615-0.02558706879589953i,0.08706837396581431+0.0341577670093539i,0.08706837396581431-0.0341577670093539i,0.06561415392223791+0.1859916731695283i,0.06561415392223791-0.1859916731695283i,0.1336218826671916-0.1411352550903452i,0.1336218826671916+0.1411352550903452i,-0.1912286516101316+0.02215507290108837i,-0.1912286516101316-0.02215507290108837i,-0.166345770784407-0.008299727521985802i,-0.166345770784407+0.008299727521985802i,-0.1784815538023141+0.02851499471124912i,-0.1784815538023141-0.02851499471124912i,-0.01258878608895692+0i,-0.1106633075197127-0.02681094950179807i,-0.1106633075197127+0.02681094950179807i,-0.03209721210644269-0.05735433353644664i,-0.03209721210644269+0.05735433353644664i
0.03160237935521755+0i,-0.06585833877746264+0.05630601034701803i,-0.06585833877746264-0.05630601034701803i,0.06792538428526804+0.09265264805157193i,0.06792538428526804-0.09265264805157193i,0.03251288914674885+0.2077612289703061i,0.03251288914674885-0.2077612289703061i,0.01283319454391567+0.2449659875143989i,0.01283319454391567-0.2449659875143989i,-0.1416226104215483+0.1586391454854729i,-0.1416226104215483-0.1586391454854729i,-0.0578825536449529+0.11879497549859i,-0.0578825536449529-0.11879497549859i,-0.1907891279090192-0.2057796579527303i,-0.1907891279090192+0.2057796579527303i,-0.1680019440413832-0.2560823404514551i,-0.1680019440413832+0.2560823404514551i,-0.3055278405666553-0.1159802859629061i,-0.3055278405666553+0.1159802859629061i,-0.1650584943459907+0i,-0.1176785893728157-0.1156613848746755i,-0.1176785893728157+0.1156613848746755i,-0.02014954496837985-0.09649192508567592i,-0.02014954496837985+0.09649192508567592i
